individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
4,0.127,0.197,0.412,0.232,1.386,0.151,0.07,0.197,730,940,840,860,1460,1720,1630,1720
4,0.145,0.208,0.446,0.232,1.38,0.116,0.076,0.157,730,900,810,860,1460,1720,1630,1720
4,0.098,0.203,0.423,0.232,1.397,0.163,0.075,0.203,730,810,860,860,1460,1720,1630,1720
4,0.098,0.191,0.4,0.22,1.386,0.163,0.093,0.221,730,810,810,860,1460,1720,1630,1720
4,0.133,0.197,0.435,0.238,1.414,0.139,0.081,0.191,750,860,860,860,1460,1720,1630,1720
4,0.121,0.191,0.423,0.214,1.384,0.14,0.093,0.202,770,860,860,860,1550,1460,1630,1720
4,0.11,0.197,0.417,0.214,1.35,0.139,0.093,0.18,770,860,860,860,1550,1800,1630,1720
4,0.127,0.214,0.412,0.232,1.385,0.151,0.064,0.185,770,860,860,860,1550,1720,1630,1720
4,0.126,0.202,0.417,0.214,1.32,0.129,0.041,0.191,680,860,860,860,1630,1720,1630,1720
4,0.145,0.238,0.423,0.238,1.402,0.116,0.058,0.184,770,860,860,860,1550,1720,1630,1720
4,0.11,0.203,0.417,0.238,1.38,0.145,0.081,0.186,770,860,860,860,1460,1720,1630,1720
4,0.116,0.208,0.446,0.232,1.381,0.145,0.059,0.175,770,810,860,860,1550,1720,1630,1720
4,0.11,0.208,0.429,0.226,1.363,0.128,0.07,0.192,680,840,810,860,1460,1720,1630,1720
4,0.116,0.185,0.429,0.226,1.379,0.139,0.087,0.197,750,860,830,860,1460,1720,1630,1720
4,0.092,0.162,0.417,0.238,1.386,0.186,0.093,0.198,760,840,860,860,1550,1720,1630,1720
4,0.139,0.174,0.441,0.214,1.432,0.168,0.087,0.209,680,860,860,860,1460,1720,1630,1720
4,0.11,0.174,0.429,0.261,1.409,0.151,0.098,0.186,680,860,860,860,1460,1720,1630,1720
4,0.11,0.191,0.441,0.261,1.421,0.151,0.093,0.174,760,860,860,860,1460,1720,1630,1720
4,0.127,0.185,0.429,0.22,1.409,0.14,0.093,0.215,680,940,770,860,1720,1720,1720,1720
4,0.127,0.191,0.458,0.22,1.391,0.151,0.076,0.168,810,860,810,860,1630,1630,1630,1720
4,0.156,0.208,0.464,0.232,1.444,0.14,0.07,0.174,770,860,860,860,1630,1720,1630,1720
4,0.116,0.208,0.423,0.214,1.397,0.151,0.082,0.203,810,810,840,840,1630,1630,1630,1720
4,0.11,0.197,0.4,0.203,1.38,0.162,0.087,0.221,770,860,860,820,1630,1720,1630,1630
4,0.121,0.22,0.429,0.226,1.398,0.14,0.07,0.192,740,810,860,860,1630,1630,1630,1720
4,0.139,0.208,0.435,0.232,1.403,0.133,0.076,0.18,770,860,860,860,1550,1630,1630,1720
4,0.15,0.226,0.505,0.342,1.421,0.111,0.064,0.023,770,860,810,900,1550,1720,1630,1720
4,0.139,0.197,0.417,0.22,1.396,0.145,0.07,0.208,780,770,900,830,1550,1720,1720,1720
4,0.145,0.226,0.429,0.232,1.38,0.116,0.058,0.174,810,730,860,840,1630,1720,1720,1630
4,0.174,0.22,0.435,0.267,1.455,0.104,0.07,0.185,770,860,860,860,1630,1630,1630,1720
4,0.168,0.22,0.446,0.232,1.403,0.104,0.07,0.163,770,860,860,860,1550,1370,1630,1720
